Entry #,Pseudo-Page,Chuukese Word / Form,Part of Speech,English Definition,Examples,Notes
709,55,ekkemelimel,,smiles all the time	(reduplication indicates repetitive action),,Extracted from page 55
710,55,éménungaw,,"snub, ignore",,Extracted from page 55
711,55,emiis,,compete,,Extracted from page 55
712,55,emmiisfengen,,competition,,Extracted from page 55
713,55,emiriiti,,"to enlighten, to help one understand	(see “mirit”)",,Extracted from page 55
714,55,emmwen,,"n. guidance, lead, leadership emmwenin – guidance of emmweni – v., vt. to guide, lead",,Extracted from page 55
715,55,emmweniéchú,,"provide helpful guidance, good leadership",,Extracted from page 55
716,55,emmweniéchúún,,"helpful guidance of emmweningaw – inferior, harmul, poor guidance",,Extracted from page 55
717,55,emmwenifetálei,,lead around,,Extracted from page 55
718,56,emwéú,,stop it!!!	(spoken only),,Extracted from page 56
719,56,émwúch,,firewood,,Extracted from page 56
720,56,emén,,"one	(counting classification for living things: people, animals, etc.)	(see “eú”)",,Extracted from page 56
721,56,eménna,,that person,,Extracted from page 56
722,56,eménnewe,,"the person	(talkingt about person that is not present, unseen)",,Extracted from page 56
723,56,én,,"(1) v, fold	(clothes)",,Extracted from page 56
724,56,énnú,,to fold ékkén – folded,,Extracted from page 56
725,56,énaaló,,fold	(all of it),,Extracted from page 56
726,56,én,,(2) to wrap pounded breadfruit	(kkón),,Extracted from page 56
727,56,en (1),,you	(stand alone pronoun – see page 1 #2),,Extracted from page 56
728,56,ka,,"you are, you were	(present & past tense)",,Extracted from page 56
729,56,kopwe,,you	will (be),,Extracted from page 56
730,56,kopwele,,you	will immediately,,Extracted from page 56
731,56,kese,,"you	did not, didn’t	(“kete”and “kose” also used)",,Extracted from page 56
732,56,kesap,,"you	will not, won’t	(“kosap”also used) kepwap – you	 will later	(“kopwap” also used) kesaamwo – you haven’t yet",,Extracted from page 56
733,56,en (2),,blow	(wind),,Extracted from page 56
734,56,enien,,blowing	(wind),,Extracted from page 56
735,57,eniiti,,blow at	(wind),,Extracted from page 57
736,57,enienin,,blowing of	(the wind),,Extracted from page 57
737,57,engeréú,,one thousand	(see “eú”),,Extracted from page 57
738,57,engiló,,endure	(under stress),,Extracted from page 57
739,57,engiingi,,hum,,Extracted from page 57
740,57,engól,,ten,,Extracted from page 57
741,57,áengólun,,tenth,,Extracted from page 57
742,57,eú na engólun,,one tenth kit – ten thousand,,Extracted from page 57
743,57,eni,,eat	(“áni” – alternate spelling),,Extracted from page 57
744,57,enen,,meal of,,Extracted from page 57
745,57,eniueniu,,scary	(see “niu”),,Extracted from page 57
746,57,eniwili,,to return	(see “niwil”),,Extracted from page 57
747,58,enlet,,"true, truly	(see “let”)",,Extracted from page 58
748,58,ennefen,,north	(more commonly used),,Extracted from page 58
749,58,ennefenin,,north of,,Extracted from page 58
750,58,eféng,,(same as “ennefen”),,Extracted from page 58
751,58,enniwili,,"review, repeat	(see “wil”)",,Extracted from page 58
752,58,eóló,,exiled	(captured and taken),,Extracted from page 58
753,58,epa,,one	(see “eú”),,Extracted from page 58
754,58,epichaaló,,"to release	(see “pich”) epiietá – to raise	(problems, questions, etc.)	(see “pi”) epiita – to cause the loss of interest or enthusiam	(see “piit”)",,Extracted from page 58
755,58,epin,,"bottom	(of an object: cup, boat, etc.)",,Extracted from page 58
756,58,epinin,,bottom of,,Extracted from page 58
757,58,epinéch,,pretend	(deny one’s true feelings),,Extracted from page 58
758,58,episipis,,applaud	(see “pis”),,Extracted from page 58
759,58,eppet,,prevent,,Extracted from page 58
760,58,eppeti,,to prevent,,Extracted from page 58
761,58,eppetiin,,prevention of,,Extracted from page 58
762,58,ekkeppeti,,preventing	(reduplication also conveys repeditive action),,Extracted from page 58
763,58,eppwisi,,to taunt	(trying to make someone angry),,Extracted from page 58
764,58,epwe,,"he, she, it (will)	(see “i”)",,Extracted from page 58
765,59,epwi,,one group	(see “eú”),,Extracted from page 59
766,59,epwipwiin,,context,,Extracted from page 59
767,59,eriáfféwú,,to persecute	(see “riáfféw”),,Extracted from page 59
768,59,eriáni,,to force	(against their will),,Extracted from page 59
769,59,ereni,,tell,,Extracted from page 59
770,59,ereniéchú,,tell clearly,,Extracted from page 59
771,59,ekkereni,,informing	(reduplication also conveys repeditive action),,Extracted from page 59
772,59,eriki,,"to distract, lead astray	(see “rik”)",,Extracted from page 59
773,59,eriri,,"to tie, bind	(see “ri”)",,Extracted from page 59
774,59,esaamwo,,has not yet	(see “i”),,Extracted from page 59
775,59,esap,,"he, she, it, will not	(see “i”)",,Extracted from page 59
776,59,eselipa,,"results in, consequences of eselipaato – brings consequences",,Extracted from page 59
777,59,esemuch,,"never ending, forever	(see “much”)",,Extracted from page 59
778,59,esiit,,"criticism	(work, action)",,Extracted from page 59
779,59,esiita,,to criticize,,Extracted from page 59
780,60,ekkesiita,,criticising	(reduplication conveys thought of repetitive action),,Extracted from page 60
781,60,esilei,,to make known	(see “sile”),,Extracted from page 60
782,60,esissil,,sign	(see “sill”),,Extracted from page 60
783,60,essenúkú,,make excessive	(see “ssenúk”),,Extracted from page 60
784,60,ésúfélúngaw,,disrespectful	(see “súfél”),,Extracted from page 60
785,60,ésúkú,,"wonder, looking forward to  (waiting)",,Extracted from page 60
786,60,ékkésúkú,,continuing to look forward to	(reduplication conveys thought of repetitive action),,Extracted from page 60
787,60,ésúkúsúkú,,looking forward to,,Extracted from page 60
788,60,eteni,,to melt	(see “ten”),,Extracted from page 60
789,60,etettelaatiw,,to list	(write down),,Extracted from page 60
790,60,eti,,"join, accompany",,Extracted from page 60
791,60,etieti,,"to cut in (line), bump each other, to prop up	(a child, door, etc.)",,Extracted from page 60
792,60,etikiléú,,"examine, check closely",,Extracted from page 60
793,61,etia,,"to crowd together, to push together	(see “ti”)",,Extracted from page 61
794,61,etileepat,,"meddle, stir up persons to quarrel or fight etip – wall	(house)",,Extracted from page 61
795,61,etipen,,wall of,,Extracted from page 61
796,61,etipeeú,,agreement	(see “tip”),,Extracted from page 61
797,61,etipetip,,n.  influence,,Extracted from page 61
798,61,etipetipa,,"v., vt.  to influence",,Extracted from page 61
799,61,etipetipaen,,influence of,,Extracted from page 61
800,61,etipisi,,accuse	(see “tipis”),,Extracted from page 61
801,61,etittina,,examine	(bring to light)	(see “ttin”),,Extracted from page 61
802,61,etiwa,,"invite, accept",,Extracted from page 61
803,61,ekketiwa,,inviting	(reduplication conveys thought of repetitive action)	(same pronouns as “etiwa”),,Extracted from page 61
804,61,etiwasefál,,invite again,,Extracted from page 61
805,61,etiwasefáli,,vt.  invite again,,Extracted from page 61
806,61,etiwetiw,,invitation,,Extracted from page 61
807,61,taropween etiwetiw,,written invitation etiwetiwen – invitation of,,Extracted from page 61
808,62,etiwetiwéch,,welcoming,,Extracted from page 62
809,62,ketiw,,"invited, accepted, acceptable",,Extracted from page 62
810,62,etterieló,,"remove, terminate, destroy	(see “ter”)",,Extracted from page 62
811,62,etto,,come,,Extracted from page 62
812,62,éttúres,,to exert without giving up étúwét – smoke,,Extracted from page 62
813,62,étúwétún,,smoke of asóren étúwét – incense,,Extracted from page 62
814,62,eú,,one,,Extracted from page 62
815,62,áewin,,first	(in numerical sequence),,Extracted from page 62
816,62,ákkáeúin,,"especially, primarily",,Extracted from page 62
817,62,akkomw,,"first	(be first in order, before the rest)",,Extracted from page 62
818,62,áláemén,,"alone, only begotten, only one person or animal áláeménúló – to be alone",,Extracted from page 62
819,62,áeménún,,the first person,,Extracted from page 62
820,62,ákkáemén,,one person at a time ákkáeménún – first person of several,,Extracted from page 62
821,62,ipúkú,,one hundred engeréú – one thousand,,Extracted from page 62
822,62,emén,,"one	person, animal	(below: different counting classifier)",,Extracted from page 62
823,62,"emén, -na, -nan, -newe",,person,,Extracted from page 62
824,62,there	there	there	(locationals,,shortened form: ending portion of words – see page 2),,Extracted from page 62
825,62,eché,,"one	flat object	(plywood, paper etc.)",,Extracted from page 62
826,63,áechéén,,one flat object of efóch – one	long object,,Extracted from page 63
827,63,áefóchún,,one long object of eféú – one	round object,,Extracted from page 63
828,63,epa,,"one	lei, flower, necklace, bracelet",,Extracted from page 63
829,63,epwi,,"one	group of	(animate: people, animals, inanimate: words)",,Extracted from page 63
830,63,etuk,,one	big bag,,Extracted from page 63
831,63,etukun,,one bag of etukúm – one small bag,,Extracted from page 63
832,63,et,,one	(general counting of objects),,Extracted from page 63
833,63,éúréúr,,warn,,Extracted from page 63
834,63,éúréúra,,to warn,,Extracted from page 63
835,63,éúréúren,,warning of,,Extracted from page 63
836,63,ewe,,the	(definite article singular),,Extracted from page 63
837,63,eweina,,"to guide, lead someone to somewhere",,Extracted from page 63
838,63,ewer,,yes,,Extracted from page 63
839,63,ewin,,(see “more” in the English to Chuukese dictionary),,Extracted from page 63
840,64,ewisa,,"delegate responsibility to, apportion	(see “wis”)",,Extracted from page 64
841,64,faach,,pandanus tree,,Extracted from page 64
842,64,faas,,slip	(cause of a fall),,Extracted from page 64
843,64,likafafas,,slippery fáás – nest,,Extracted from page 64
844,64,fáásin,,nest of,,Extracted from page 64
845,64,faat,,reef area that can be walked on fachchikin – at the very bottom,,Extracted from page 64
846,64,fairo,,"courteous, good manners famili – family",,Extracted from page 64
847,64,familien,,family of,,Extracted from page 64
848,64,fán,,"prep.  under, below	(takes on an object)",,Extracted from page 64
849,64,fan,,"prep.  under, below	(does not take on an object)",,Extracted from page 64
850,64,fán asengesin,,"for, in behalf of	(similar to “fán iten”)",,Extracted from page 64
851,64,fán iten,,"in the name of, in behalf of, for	(for an action to be taken)",,Extracted from page 64
852,65,faneló,,"be silent, be quiet, don’t speak",,Extracted from page 65
853,65,fanafaneló,,keep silent	(reduplication also conveys repetitive action),,Extracted from page 65
854,65,fang,,"give, surrender, give up fangó,-to, -ló – give",,Extracted from page 65
855,65,come go	(directionals,,"see page 1, #5)",,Extracted from page 65
856,65,fangetá,,"give up	(emotionally, from within)",,Extracted from page 65
857,65,achanu,,"give up	(physically, by action)",,Extracted from page 65
858,65,fangafangéch,,give generously,,Extracted from page 65
859,65,fangamwááliló,,give away something is not one’s to give fangafatóló – give freely,,Extracted from page 65
860,65,fangúrúfutuk,,give grudgingly fangeséréú – squanderd,,Extracted from page 65
861,65,fangeséréúló,,"squander, completely squandered liffang – n. gift, present",,Extracted from page 65
862,65,lilliffang,,gift giving	(reduplication also conveys repetitive action),,Extracted from page 65
863,65,liffangen,,gift of liffangóló – to give a gift,,Extracted from page 65
864,65,go (directionals,,"see page 1, #5)",,Extracted from page 65
865,65,liffangoto,,receive a gift,,Extracted from page 65
866,65,come (directionals,,"see page 1, #5)",,Extracted from page 65
867,66,afanga,,to force	(by threats),,Extracted from page 66
868,66,kafang,,"intimidate, terrorize, threaten",,Extracted from page 66
869,66,afangamá,,betray,,Extracted from page 66
870,66,afangamáái,,"to betray, betrayed",,Extracted from page 66
871,66,fánipwúl,,underground,,Extracted from page 66
872,66,fansoun,,"time (period of), season",,Extracted from page 66
873,66,faw,,stone	(“faú” – alternate spelling),,Extracted from page 66
874,66,fé,,adj.  new,,Extracted from page 66
875,66,minefé,,something brand new mineféén – newness of,,Extracted from page 66
876,66,sefé,,new,,Extracted from page 66
877,67,sefééló,,made new sefésefál – new again,,Extracted from page 67
878,67,asefésefáli,,to make new again,,Extracted from page 67
879,67,féfé,,"tie, bound",,Extracted from page 67
880,67,féti,,"v., vt.  to tie, bind",,Extracted from page 67
881,67,fétek,,prison,,Extracted from page 67
882,67,imwen fétek,,"jail, prison fétekin – jail, prison of fétekiló – imprisoned fétekini – to imprison",,Extracted from page 67
883,67,feiló,,"went, went to",,Extracted from page 67
884,67,feffeiló,,"go on, progress, forward	(reduplication also conveys repetitive action)",,Extracted from page 67
885,67,feffeitá,,"go on up, make progress, develop feffeitáán – progress of",,Extracted from page 67
886,67,áfeffeitáái,,"to raise up, to develop, to cause advancement áfeffeitáán – development, advancement of",,Extracted from page 67
887,67,"feil, feil, feil",,over a period of time feilfesen – go separate ways feilfeiló – forever,,Extracted from page 67
888,67,feilfetál,,walk around fetálfeil – walked all over,,Extracted from page 67
889,67,feilpat,,"continuously be on the go feiengaw – danger, hurt, injury",,Extracted from page 67
890,67,feiengawen,,"danger of, injury of efeiengawen – the cause of the danger",,Extracted from page 67
891,68,feiengawfóchófóch,,"continuous or lasting dangerous situation efeiengaw – dangerous, hurtful",,Extracted from page 68
892,68,minen efeiengaw,,dangerous object or situation efeiengawen – dangerousness of,,Extracted from page 68
893,68,efeiengawan,,"danger, injury",,Extracted from page 68
894,68,efeiengawa,,vt.  to cause injury,,Extracted from page 68
895,68,efeiengaweei,,(same as “efeiengawa”),,Extracted from page 68
896,68,feiéch,,"blessing, benefit, prosperity, fortunate",,Extracted from page 68
897,68,feffeiéch,,blessings	(reduplication also conveys repetitive action),,Extracted from page 68
898,68,feiéchún,,"blessing, benefit of",,Extracted from page 68
899,68,feiéchúni,,"blessed, to have the blessings feiéchfóchófóch – everlasting blessings efeiéch – received blessings, benefit",,Extracted from page 68
900,68,minen efeiéch,,"object or situation that brings blessing or benefit efeiéchú – to bless, to benefit",,Extracted from page 68
901,68,feiseni,,"diarrhea fel – worship, Holy",,Extracted from page 68
902,68,feffel,,worshipping	(reduplication also conveys repetitive action),,Extracted from page 68
903,68,félúfél,,thorn,,Extracted from page 68
904,68,félún,,thorn of fen – already,,Extracted from page 68
905,69,fén,,"counsel, advice",,Extracted from page 69
906,69,fénéú,,"to give counsel, advice fénú – land, property, country",,Extracted from page 69
907,69,fénúfan,,"earth, world fénúfanen – world of",,Extracted from page 69
908,69,earth,,"(literal, to differentiate from world of mankind)",,Extracted from page 69
909,69,fénúeni,,occupy the earth or a piece of land fénúenisefál – occupy again,,Extracted from page 69
910,69,fénúenisefáli,,"v., vt.  occupy again	(transitive – takes on an object)",,Extracted from page 69
911,69,fénúen,,"land, property of fénuen pwon – promised land",,Extracted from page 69
912,69,fénúpéén,,wilderness	(empty land),,Extracted from page 69
913,69,fénúpwas,,desert	(dry land),,Extracted from page 69
914,69,fépwúl,,young woman in her 20’s – 30’s,,Extracted from page 69
915,69,fépwúlún,,young woman of,,Extracted from page 69
916,69,féraatá,,"make, create, establish	(see “ffér”)",,Extracted from page 69
917,69,féri,,"do, make	(see “ffér”)",,Extracted from page 69
918,70,fes,,"contribute, collect money fesin – contribution of",,Extracted from page 70
919,70,fesir,,tame	(animals),,Extracted from page 70
920,70,efisira,,"v., vt.  to tame",,Extracted from page 70
921,70,fetál,,walk,,Extracted from page 70
922,70,fetálin,,course of travel	(can be used figuratively),,Extracted from page 70
923,70,feffetál,,walking	(reduplication also conveys repetitive action),,Extracted from page 70
924,70,fetáleppék,,walk at the same time fetálfeil – walk around,,Extracted from page 70
925,70,fetálfengen,,walk toward each other mwin le fetál – walk together,,Extracted from page 70
926,70,áfetála,,cause to walk,,Extracted from page 70
927,70,ákkáfetála,,keep assisting fetellap – festival,,Extracted from page 70
928,70,fetellapen,,festival of,,Extracted from page 70
929,71,fetil,,grass	(taller than “sipa”),,Extracted from page 71
930,71,fetilipwas,,dry grass,,Extracted from page 71
931,71,anúwenfetil,,green grass	(color),,Extracted from page 71
932,71,féú (1),,"well-known, famous féúló – well-known iteféúló – famous",,Extracted from page 71
933,71,féú (2),,weave,,Extracted from page 71
934,71,féuféú,,"v., vt. to weave féúwen – woven item of",,Extracted from page 71
935,71,féú (3),,counting classifier for round objects,,Extracted from page 71
936,71,"eféú, rueféú, etc.",,"one, two	(round objects)  (see diffrent numbers for different classifiers )",,Extracted from page 71
937,71,féún,,round object of,,Extracted from page 71
938,71,féúkúkkún,,small round object,,Extracted from page 71
939,71,féúkúkkúnún,,small round object of féúmmóng – large round object,,Extracted from page 71
940,71,féúmmóngún,,large round object of féúicho – muscle	(of the body),,Extracted from page 71
941,72,féúichoon,,"muscle of féúimw – cave, tunnel",,Extracted from page 72
942,72,ffat,,clear,,Extracted from page 72
943,72,akkaffat,,"make clear, known affat – made clear",,Extracted from page 72
944,72,affata,,"v. vt. to make clear, clarify",,Extracted from page 72
945,72,affatóló,,clarify,,Extracted from page 72
946,72,affataaló,,clarifying,,Extracted from page 72
947,72,affatetiw,,"clarified, clarify ffatan – its clarity",,Extracted from page 72
948,72,ffatéch,,very clear,,Extracted from page 72
949,72,ffatéchún,,clearness of fataffatéch – very clear fataffatéchúló – very clear fataffatéchún – clearness of affataéchú – to make clear,,Extracted from page 72
950,72,ffatangaw,,unclear,,Extracted from page 72
951,72,ffatangawen,,"unclearness of ffatóló – comprehensable, understandable",,Extracted from page 72
952,72,fataffatóló,,"clear, understandable fataffatólóón – clearness of",,Extracted from page 72
953,72,ffééú,,cold,,Extracted from page 72
954,72,fféú,,"adj  frozen,",,Extracted from page 72
955,72,afféú,,"v., vt.  to freeze	(turn water into ice)",,Extracted from page 72
956,73,fansoun afféú,,"winter ffér – made, done",,Extracted from page 73
957,73,fférún,,"making of, doing of fférútá – made, built",,Extracted from page 73
958,73,fférútáán,,making of fférútiw – intr. to be established,,Extracted from page 73
959,73,fférútiwen,,"establishing of fférsefál – made again, restored, repaired",,Extracted from page 73
960,73,fférsefáli,,"v., vt.  to restore, to repair",,Extracted from page 73
961,73,fférsefálitá,,(same as “fférsefál”),,Extracted from page 73
962,73,fférsefálietá,,"restored, built, repaired fférsefálitáán – restoration of fférsefáliin – same as fférsefálitáán",,Extracted from page 73
963,73,férisefál,,do again	(action by people),,Extracted from page 73
964,73,férisefáli,,"v., vt  to do again",,Extracted from page 73
965,73,férisefálietá,,put it up again	(if done wrongly the first time),,Extracted from page 73
966,73,férisefálietiw,,"put it down again féri – do it, make it",,Extracted from page 73
967,73,férien,,"work, action of féraaló – completed the work",,Extracted from page 73
968,74,féraatá,,"v., vt.  to create, make, to do",,Extracted from page 74
969,74,féraatiw,,"(same as “féraatá”, but the directional used depends on usage)",,Extracted from page 74
970,74,férfetálei,,to do something at different location férfichi – do something well,,Extracted from page 74
971,74,féréchú,,(same as “férfichi”),,Extracted from page 74
972,74,férfengeni,,do something together,,Extracted from page 74
973,74,féffér,,"action, works, deeds	(reduplication also conveys repetitive action)",,Extracted from page 74
974,74,féfféréchún,,good works of féffér múrinno – fine works féfféringaw – do what is bad,,Extracted from page 74
975,74,féfférmwáál,,"do what is wrong, wrongdoing ffich – snip, snap, cut, take a picture",,Extracted from page 74
976,74,ffichin,,cutting of,,Extracted from page 74
977,74,ffichi,,"to cut (with a scissors), snap (a picture) fich sassing.",,Extracted from page 74
978,74,fiffichi,,cutting	(reduplication also conveys repetitive action),,Extracted from page 74
979,74,lifichifichimas,,grasshopper ffór – strangle,,Extracted from page 74
980,74,ffórusi,,to strangle	(word used for suicide by hanging),,Extracted from page 74
981,74,máánffér,,"v. die by strangulation ffót – v. sow, plant",,Extracted from page 74
982,74,ffótán,,plant of,,Extracted from page 74
983,74,fóffót,,planting	(reduplication also conveys repetitive action),,Extracted from page 74
984,75,ffótóló,,"planted, sown ffótuki – v., vt. to plant ffótetiw – planted ffótun – planting of",,Extracted from page 75
985,75,ffótukaatiw,,"to plant, establish",,Extracted from page 75
986,75,down	(directionals,,"see page 1, #5)",,Extracted from page 75
987,75,ffótukalong,,to plant	(can be used figuratively),,Extracted from page 75
988,75,in	(directionals,,"see page 1, #5)",,Extracted from page 75
989,75,fich,,"proper, acceptable, approve	(action)",,Extracted from page 75
990,75,fichiiti,,approve of,,Extracted from page 75
991,75,efich,,"approve, fond of, like",,Extracted from page 75
992,75,fichifich,,knock,,Extracted from page 75
993,75,fiei,,squeeze	(with your hand),,Extracted from page 75
994,75,fiefi,,knead	(action in massaging),,Extracted from page 75
995,75,fiifi,,"electricity, shock, lightning fiifin – electricity of",,Extracted from page 75
996,75,fiiló,,flash inefi – lightning,,Extracted from page 75
997,76,fiik,,seventy	(see “fisu”),,Extracted from page 76
998,76,fiit,,feet	(measurement),,Extracted from page 76
999,76,fik,,fig	(fruit),,Extracted from page 76
1000,76,fil,,"choice, selection, decision",,Extracted from page 76
1001,76,fili,,"v., vt.  choose, select	(among items, people)",,Extracted from page 76
1002,76,filien,,choice of filitáán – choice of,,Extracted from page 76
1003,76,"his, her, it’s (possessive pronoun",,"see pg.1, #4)",,Extracted from page 76
1004,76,filaatá,,choose	(what to do),,Extracted from page 76
1005,76,filitá,,chosen by,,Extracted from page 76
1006,76,filiéch,,"good choice, choose well",,Extracted from page 76
1007,76,filiéchú,,make a good choice filiéchún – a good choice of,,Extracted from page 76
1008,76,filingaw,,bad choice,,Extracted from page 76
1009,77,filingawen,,"bad choice of kefil – n. choice, decision",,Extracted from page 77
1010,77,kefilin,,choice of kefiléch – right choice,,Extracted from page 77
1011,77,kefiliéch,,(same as “kefiléch”),,Extracted from page 77
1012,77,kefilitá,,chosen,,Extracted from page 77
1013,77,kefilitáán,,chosen by efili – vt. to choose,,Extracted from page 77
1014,77,efilien,,choice of,,Extracted from page 77
1015,77,efiliéchú,,"make the right choice álefila lefilen – distinguish between lifilif – partial, discriminate",,Extracted from page 77
1016,77,fin,,female	(used to identify place of origin),,Extracted from page 77
1017,77,finichi,,first born	(female),,Extracted from page 77
1018,77,finesamól,,princess finesoufós – prophetess fefin – woman,,Extracted from page 77
1019,77,fefinen,,sister of	(a male),,Extracted from page 77
1020,77,fingaw,,sprain finnúk –inside out,,Extracted from page 77
1021,77,efinnúkú,,"to turn inside out fis – happen, occur, take place",,Extracted from page 77
1022,77,fiffis,,happening	(reduplication also conveys repetitive action),,Extracted from page 77
1023,77,fisitá,,happen,,Extracted from page 77
1024,78,fisitáán,,occurrence of,,Extracted from page 78
1025,78,kefisitá,,"to make up, concoct, invent efisaatá – cause to occur, happen",,Extracted from page 78
1026,78,ekkefisaatá,,to make continually happen	(reduplication also conveys repetitive action),,Extracted from page 78
1027,78,fisiló,,happened,,Extracted from page 78
1028,78,fiséch,,"completed, worked out well fiséchún – completion of",,Extracted from page 78
1029,78,fisingaw,,incomplete or failed fisingawen – failure of,,Extracted from page 78
1030,78,fissefál,,"occur or happen again fisippék – happen at the same time efisi – doing, make happen",,Extracted from page 78
1031,78,efisien,,happening of,,Extracted from page 78
1032,78,fisiti,,change usage of something,,Extracted from page 78
1033,78,fisu,,seven,,Extracted from page 78
1034,78,fúúmén,,"seven	people, animals	(below: different counting classifier)",,Extracted from page 78
1035,78,fúúfóch,,seven	long objects,,Extracted from page 78
1036,79,fúúché,,"seven	flat objects	(plywood, paper, etc.)",,Extracted from page 79
1037,79,fúúféú,,seven	round objects,,Extracted from page 79
1038,79,fúúpa,,"seven	leis, necklaces, bracelets",,Extracted from page 79
1039,79,fúúpwi,,"seven	groups of	(animate: people, animals, inanimate: words)",,Extracted from page 79
1040,79,fúútuk,,seven	big bags,,Extracted from page 79
1041,79,fúútukúm,,seven	small bags,,Extracted from page 79
1042,79,fiik,,seventy,,Extracted from page 79
1043,79,fúúpúkú,,seven hundred fisu ngeréú – seven thousand efisuan – seventh,,Extracted from page 79
1044,79,efisuen,,seventh of,,Extracted from page 79
1045,79,fús,,seven	(general counting of objects),,Extracted from page 79
1046,79,fite,,"how many?, how much?	(if the expected number is more than a few)",,Extracted from page 79
1047,79,fite liwinin,,how much?	(cost),,Extracted from page 79
1048,79,fán fite?,,how many times? kulók fite? – what time is it?,,Extracted from page 79
1049,79,fitemén,,"how many	persons, animals	(below: different counting classifiers)",,Extracted from page 79
1050,79,fiteféú,,how many	round objects fiteché – how many	flat objects fitefóch – how many long objects fiteféú – how many	round objects fite tukun – how many bags of,,Extracted from page 79
1051,79,fiti,,"join, attend, accompany",,Extracted from page 79
1052,79,fiffiti,,joining	(reduplication also conveys repetitive action),,Extracted from page 79
1053,79,fitaaló,,joined,,Extracted from page 79
1054,80,fitipach,,stick together,,Extracted from page 80
1055,80,fitipachei,,to stick together fitisefál – accompany again,,Extracted from page 80
1056,80,fitisefáli,,"v., vt.  to accompany again",,Extracted from page 80
1057,80,fitifetálei,,v.  go with someone or something wherever he or it goes,,Extracted from page 80
1058,80,effit,,to combine foods	(eating combinatins),,Extracted from page 80
1059,80,nikofitifitfengen,,intertwine	(as in roots of trees),,Extracted from page 80
1060,80,fitikoko,,"trouble, distress, disturbed",,Extracted from page 80
1061,80,fitikokofengen,,trouble between two or more persons fitikokokkis – constantly troubled,,Extracted from page 80
1062,80,fitikokoon,,trouble of,,Extracted from page 80
1063,80,efitikoko,,"vi. troubled, distressed, confused efitikokooi – v., vt. to cause distress, confusion",,Extracted from page 80
1064,80,fitu,,"how many, how much? fiu – fight",,Extracted from page 80
1065,80,sounfiu,,fighter	(one who likes to fight),,Extracted from page 80
1066,80,fókkun,,very,,Extracted from page 80
1067,81,fókun,,flawed from birth	(physically or mentally),,Extracted from page 81
1068,81,fóól,,"raise	(an animal, not used in reference to children)",,Extracted from page 81
1069,81,fóóleni,,to raise	(an animal),,Extracted from page 81
1070,81,foon,,phone,,Extracted from page 81
1071,81,fón,,"cuddled. cherished, pampered",,Extracted from page 81
1072,81,fós,,"word, talk, speak, language",,Extracted from page 81
1073,81,fóffós,,speaking	(reduplication also conveys repetitive action),,Extracted from page 81
1074,81,fósun,,"words, language of",,Extracted from page 81
1075,81,fóssefál,,"speak, talk again fósfengen – talk together",,Extracted from page 81
1076,81,fóschéúló,,"n., v. soliloquy",,Extracted from page 81
1077,81,fót,,"hit	(a target)	(with a spear, knife)",,Extracted from page 81
1078,81,afóta,,"v, vt  to throw a spear or knife at  (can be used figuratively – focus)",,Extracted from page 81
1079,82,ánnefót,,"stare, glare ánnefóta – stare, glare at",,Extracted from page 82
1080,82,fótófót,,focus	(thinking),,Extracted from page 82
1081,82,nefótófót (1),,"v.  to focus on, concentrate on	(look at a speaker)",,Extracted from page 82
1082,82,nefótófót (2),,to glare at ekifótófót – focus our thinking,,Extracted from page 82
1083,82,fótópwúkú,,kneel,,Extracted from page 82
1084,82,fótópwúkútiw,,kneel down,,Extracted from page 82
1085,82,fout,,"decoration, adornment, jewelry",,Extracted from page 82
1086,82,fouten,,"jewelry, adornment of fouteni – to wear",,Extracted from page 82
1087,82,foutéch,,appropriate attire afout – to decorate,,Extracted from page 82
1088,82,furio,,"wrongdoer, terrorist	(such as liar, thief, etc.)",,Extracted from page 82
1089,82,chón furio,,wrongdoer fúseng – balloon,,Extracted from page 82
1090,83,futuk,,"meat, flesh	(can be used figuratively)",,Extracted from page 83
1091,83,futuken,,flesh of fúú – star,,Extracted from page 83
1092,83,fúún,,star (s) of fúúrán – day star,,Extracted from page 83
1093,83,i (1),,"he, she, it	(stand alone pronoun – see page 1, #2)",,Extracted from page 83
1094,83,epwe,,"he, she, it	will (be)",,Extracted from page 83
1095,83,epwele,,"he, she, it	will do immediately",,Extracted from page 83
1096,83,epwap,,"he, she, it	will do later",,Extracted from page 83
1097,83,ese,,"he, she, it	did not, didn’t	(“ete” also used)",,Extracted from page 83
1098,83,esap,,"he, she, it	will not, won’t",,Extracted from page 83
1099,83,esaamwo,,"he, she, it	did not yet i (2) – him, her, it	(pronoun – see page 1, #4 c) ia – where",,Extracted from page 83
1100,84,iasai,,vegetables ié – who,,Extracted from page 84
1101,84,ie,,used to complete a phrase,,Extracted from page 84
1102,84,Example: ikeei ie,,here (locational),,Extracted from page 84
1103,84,iei,,"now, this, here",,Extracted from page 84
1104,84,ien,,"this, here it is",,Extracted from page 84
1105,84,ien me ien,,"such and such, so and so, this and that ier – year. age",,Extracted from page 84
1106,84,ierin,,age of,,Extracted from page 84
1107,84,ierittam,,many years,,Extracted from page 84
1108,85,ifa,,(1) where,,Extracted from page 85
1109,85,ifa,,(2) what	(asking for specific information),,Extracted from page 85
1110,85,ifa usun,,how,,Extracted from page 85
1111,85,iik,,fish,,Extracted from page 85
1112,85,iiken,,"fish of, kind of fish iiken leset – ocean fish iiken ooch – reef fish",,Extracted from page 85
